source,origin,label,brand,variant,hierarchy_role,final_decision,kg_status,existing_slug,outcome,seed_brand,seed_slug,model_token,reason
overlay_182,user_authoritative_addition,Fender American Professional II Stratocaster,Fender,Fender American Professional II Stratocaster,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,fender,fender-american-professional-ii-stratocaster,American Professional II Stratocaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender American Ultra Stratocaster,Fender,Fender American Ultra Stratocaster,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-american-ultra-stratocaster,American Ultra Stratocaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender American Vintage II Stratocaster,Fender,Fender American Vintage II Stratocaster,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-american-vintage-ii-stratocaster,American Vintage II Stratocaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Player Stratocaster,Fender,Fender Player Stratocaster,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-player-stratocaster,Player Stratocaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Squier Classic Vibe Stratocaster,Squier,Squier Classic Vibe Stratocaster,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,squier,squier-classic-vibe-stratocaster,Classic Vibe Stratocaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender American Standard Telecaster,Fender,Fender American Standard Telecaster,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-american-standard-telecaster,American Standard Telecaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Telecaster Thinline,Fender,Fender Telecaster Thinline,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,fender,fender-telecaster-thinline,Telecaster Thinline,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Telecaster Custom,Fender,Fender Telecaster Custom,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,fender,fender-telecaster-custom,Telecaster Custom,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Telecaster Deluxe,Fender,Fender Telecaster Deluxe,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-telecaster-deluxe,Telecaster Deluxe,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender American Vintage '52 Telecaster,Fender,Fender American Vintage '52 Telecaster,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,fender,fender-american-vintage-52-telecaster,American Vintage '52 Telecaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender American Vintage II Jazzmaster,Fender,Fender American Vintage II Jazzmaster,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-american-vintage-ii-jazzmaster,American Vintage II Jazzmaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Troy Van Leeuwen Jazzmaster,Fender,Fender Troy Van Leeuwen Jazzmaster,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,fender,fender-troy-van-leeuwen-jazzmaster,Troy Van Leeuwen Jazzmaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Squier J Mascis Jazzmaster,Squier,Squier J Mascis Jazzmaster,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,squier,squier-j-mascis-jazzmaster,J Mascis Jazzmaster,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Kurt Cobain Jaguar,Fender,Fender Kurt Cobain Jaguar,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,fender,fender-kurt-cobain-jaguar,Kurt Cobain Jaguar,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Fender Johnny Marr Jaguar,Fender,Fender Johnny Marr Jaguar,matchable_canonical_product,reserve,exact_kg_product,fender-johnny-marr-jaguar,existing_exact_kg_product,,,Johnny Marr Jaguar,already in the KG as fender-johnny-marr-jaguar
overlay_182,user_authoritative_addition,Gibson Les Paul Standard '50s,Gibson,Gibson Les Paul Standard '50s,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,gibson,gibson-les-paul-standard-50s,Les Paul Standard '50s,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Les Paul Standard '60s,Gibson,Gibson Les Paul Standard '60s,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,gibson,gibson-les-paul-standard-60s,Les Paul Standard '60s,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Les Paul Custom,Gibson,Gibson Les Paul Custom,matchable_canonical_product,core,exact_kg_product,gibson-les-paul-custom,existing_exact_kg_product,,,Les Paul Custom,already in the KG as gibson-les-paul-custom
overlay_182,user_authoritative_addition,Gibson Les Paul Studio,Gibson,Gibson Les Paul Studio,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,gibson,gibson-les-paul-studio,Les Paul Studio,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Les Paul Junior,Gibson,Gibson Les Paul Junior,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-les-paul-junior,Les Paul Junior,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Les Paul Special,Gibson,Gibson Les Paul Special,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,gibson,gibson-les-paul-special,Les Paul Special,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Custom Shop Les Paul R7,Gibson,Gibson Custom Shop Les Paul R7,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-custom-shop-les-paul-r7,Custom Shop Les Paul R7,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Custom Shop Les Paul R8,Gibson,Gibson Custom Shop Les Paul R8,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-custom-shop-les-paul-r8,Custom Shop Les Paul R8,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Custom Shop Les Paul R9,Gibson,Gibson Custom Shop Les Paul R9,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-custom-shop-les-paul-r9,Custom Shop Les Paul R9,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson Custom Shop Les Paul R0,Gibson,Gibson Custom Shop Les Paul R0,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-custom-shop-les-paul-r0,Custom Shop Les Paul R0,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson ES-335 Dot,Gibson,Gibson ES-335 Dot,matchable_canonical_product,core,missing_from_kg,,added_verified_kg_product,gibson,gibson-es-335-dot,ES-335 Dot,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson ES-335 Block,Gibson,Gibson ES-335 Block,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-es-335-block,ES-335 Block,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson ES-345,Gibson,Gibson ES-345,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,gibson,gibson-es-345,ES-345,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson ES-355,Gibson,Gibson ES-355,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,gibson,gibson-es-355,ES-355,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson ES-330,Gibson,Gibson ES-330,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,gibson,gibson-es-330,ES-330,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson SG Standard,Gibson,Gibson SG Standard,matchable_canonical_product,core,exact_kg_product,gibson-sg-standard-large-guard-with-maestro-vibrola,existing_exact_kg_product,,,SG Standard,already in the KG as gibson-sg-standard-large-guard-with-maestro-vibrola
overlay_182,user_authoritative_addition,Gibson SG 61 Reissue,Gibson,Gibson SG 61 Reissue,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,gibson,gibson-sg-61-reissue,SG 61 Reissue,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gibson SG Special,Gibson,Gibson SG Special,matchable_canonical_product,reserve,exact_kg_product,gibson-sg-special,existing_exact_kg_product,,,SG Special,already in the KG as gibson-sg-special
overlay_182,user_authoritative_addition,Ibanez JEM7V,Ibanez,Ibanez JEM7V,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,ibanez,ibanez-jem7v,JEM7V,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Ibanez JEM777,Ibanez,Ibanez JEM777,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,ibanez,ibanez-jem777,JEM777,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Ibanez JEMJR,Ibanez,Ibanez JEMJR,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,ibanez,ibanez-jemjr,JEMJR,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Ibanez RG550 Genesis,Ibanez,Ibanez RG550 Genesis,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,ibanez,ibanez-rg550-genesis,RG550 Genesis,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Ibanez RG421,Ibanez,Ibanez RG421,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,ibanez,ibanez-rg421,RG421,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,PRS Custom 24,PRS,PRS Custom 24,matchable_canonical_product,reserve,missing_from_kg,,added_verified_kg_product,prs,prs-custom-24,Custom 24,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,PRS Custom 22,PRS,PRS Custom 22,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,prs,prs-custom-22,Custom 22,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,PRS McCarty 594,PRS,PRS McCarty 594,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,prs,prs-mccarty-594,McCarty 594,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,PRS Silver Sky,PRS,PRS Silver Sky,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,prs,prs-silver-sky,Silver Sky,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Rickenbacker 330,Rickenbacker,Rickenbacker 330,matchable_canonical_product,excluded,missing_from_kg,,rejected_duplicate_nonproduct_or_unsafe,,,330,unsafe identity: bare short number '330'
overlay_182,user_authoritative_addition,Rickenbacker 360,Rickenbacker,Rickenbacker 360,matchable_canonical_product,excluded,missing_from_kg,,rejected_duplicate_nonproduct_or_unsafe,,,360,unsafe identity: bare short number '360'
overlay_182,user_authoritative_addition,Rickenbacker 360/12,Rickenbacker,Rickenbacker 360/12,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,rickenbacker,rickenbacker-360-12,360/12,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gretsch G6120 Chet Atkins,Gretsch,Gretsch G6120 Chet Atkins,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,gretsch,gretsch-g6120-chet-atkins,G6120 Chet Atkins,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gretsch G6136 White Falcon,Gretsch,Gretsch G6136 White Falcon,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,gretsch,gretsch-g6136-white-falcon,G6136 White Falcon,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
overlay_182,user_authoritative_addition,Gretsch G5420T Electromatic,Gretsch,Gretsch G5420T Electromatic,matchable_canonical_product,excluded,missing_from_kg,,added_verified_kg_product,gretsch,gretsch-g5420t-electromatic,G5420T Electromatic,exact brand + precise model boundary; carried in the canonical seed at known/private/unmonitored
