rank,canonical_product_id,slug,canonical_title,brand,category,parent_navigation_family,match_page_boundary,kg_prerequisite,support_state_target,visibility_target,monitoring_target,candidate_origin
1,9d6cbf78-d99f-4995-9010-b811453e829e,roland-juno-106,Juno-106,Roland,Vintage synthesizers,,Single page. Juno-6/60 are separate pages. HS-60 is the consumer-badged 106 and shares this page.,,supported,private,unchanged,gross_list_336
2,3ecf2933-92b9-4676-b80f-d4b0ba7e2c5d,roland-juno-60,Juno-60,Roland,Vintage synthesizers,,Single page. Distinct from Juno-6 (patch memory) and Juno-106 (MIDI).,,supported,private,unchanged,gross_list_336
3,352d676c-ad63-489a-82c1-e59333f79bff,roland-tr-909,TR-909,Roland,Drum machines & samplers,,Single page. Exclude TR-09 (Boutique).,,supported,private,unchanged,gross_list_336
4,652e8f4b-b789-442c-84cb-97eb6ccdec71,gibson-les-paul-custom,Gibson Les Paul Custom,Gibson,Electric guitars,Gibson Les Paul,Excludes Custom Shop reissues.,,supported,private,unchanged,user_authoritative_addition
5,a03a8e67-8b21-4837-af83-606e63f2e08f,moog-minimoog,Minimoog,Moog,Vintage synthesizers,,ORIGINAL Model D (1970-81). The 2016 reissue is the separate moog-model-d page; Voyager excluded.,,supported,private,unchanged,gross_list_336
6,d7f70d54-57ae-475d-affd-b02cf75d3f74,roland-tr-808,TR-808,Roland,Drum machines & samplers,,Single page. Exclude TR-08/TR-8/TR-8S and clones.,,supported,private,unchanged,gross_list_336
7,9622dc8d-b230-4eb4-9598-aae5c762a7c3,korg-ms-20,MS-20,Korg,Vintage synthesizers,,"ORIGINAL (1978) only. MS-20 Mini, MS-20 Kit and MS-20 FS are materially cheaper and MUST NOT land here (korg-ms-20-mini exists as a separate row).",,supported,private,unchanged,gross_list_336
8,88fd0362-a085-463e-9eae-5300a3a43640,rhodes-mark-i-suitcase-73,Mark I Suitcase 73,Rhodes,Electric pianos,,"Active Suitcase (built-in amp + speaker cabinet), 73 keys. NOTE: ""Suitcase"" is not literally named in the gross-list family string, which says ""Stage"" - recorded as a variant split, not an exact match.",,supported,private,unchanged,gross_list_336
9,c857b33b-9d55-4fc2-b8ff-150c41017a9f,gibson-hummingbird,Gibson Hummingbird,Gibson,Acoustic guitars,Gibson Acoustic,Square-shoulder.,,supported,private,unchanged,user_authoritative_addition
10,,,Gibson Les Paul Standard '60s,Gibson,Electric guitars,Gibson Les Paul,Distinct from 50s.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
11,07cc1ac5-a0c9-4707-99ed-c4440a1f9563,roland-re-201,RE-201,Roland,Tape echo & effects,,RE-201 only. Distinct from RE-101/RE-150/RE-301 (same gross-list family) and from RE-2/RE-20 pedals.,,supported,private,unchanged,gross_list_336
12,22325142-9c6a-47d8-809f-b9a5913355cd,gibson-j-45,Gibson J-45,Gibson,Acoustic guitars,Gibson Acoustic,Reference slope-shoulder.,,supported,private,unchanged,user_authoritative_addition
13,ef069b5e-e1ea-43f7-bfd6-fa0ea9220926,sequential-prophet-10,Prophet-10,Sequential,Vintage synthesizers,,Prophet-10 only. Distinct from Prophet-5 (unresolved vintage/Rev4 split) and from the modern Prophet-10 reissue where titles allow.,,supported,private,unchanged,gross_list_336
14,e4d3b8a1-613c-475d-ab2c-16c965278bba,gibson-sj-200-original,Gibson SJ-200,Gibson,Acoustic guitars,Gibson Acoustic,Flagship jumbo.,,supported,private,unchanged,assistant_obvious_challenger
15,fb04b727-b3aa-462c-8456-064f3add5121,roland-jupiter-8,Jupiter-8,Roland,Vintage synthesizers,,Single page. Distinct from Jupiter-6/-4 and from Jupiter-X/Xm.,,supported,private,unchanged,gross_list_336
16,52a95e16-0211-44d5-8c02-21a4a7e28fb3,roland-sh-101,SH-101,Roland,Vintage synthesizers,,Single page. Exclude SH-01/SH-01A (Boutique) and SH-4d.,,supported,private,unchanged,gross_list_336
17,,,Gibson Les Paul Standard '50s,Gibson,Electric guitars,Gibson Les Paul,Distinct from 60s neck profile market.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
18,,,Gibson Les Paul Studio,Gibson,Electric guitars,Gibson Les Paul,Lower tier.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
19,370d7660-dd92-4cab-84dc-eabbc38f7b26,rhodes-mark-ii-stage-73,Mark II Stage 73,Rhodes,Electric pianos,,"Mark II (1980-) Stage, 73 keys. Distinct generation from Mark I.",,supported,private,unchanged,gross_list_336
20,a7e63634-c60e-40bc-aa7f-5c1b918d8b7a,neumann-u87ai,U 87 Ai,Neumann,Studio microphones,,U 87 Ai (1986-) ONLY; the vintage U 87/U87i is a different circuit and price. DUPLICATE KG ROW neumann-u87-ai (T12/S11) must be consolidated before launch - evidence is currently split across two rows.,,supported,private,unchanged,gross_list_336
21,c9dad2ee-9386-41e2-89d5-be25d0ff79d0,roland-juno-6,Juno-6,Roland,Vintage synthesizers,,Split from Juno-60/106.,,supported,private,unchanged,gross_list_336
22,,,Gibson Les Paul Special,Gibson,Electric guitars,Gibson Les Paul,P-90 tier.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
23,8d38e57e-1960-452f-981c-777fe4c89c9d,rhodes-mark-i-stage-73,Mark I Stage 73,Rhodes,Electric pianos,,"Passive Stage, 73 keys. External evidence: Suitcase adds amp+cabinet - a real price and portability difference.",,supported,private,unchanged,gross_list_336
24,7861124f-5e67-4c2c-916d-170577cee116,roland-re-501,RE-501,Roland,Tape echo & effects,,RE-501 Chorus Echo. SRE-555 is the rack sibling in the same gross-list family; alias needs review before merging.,,supported,private,unchanged,gross_list_336
25,,,Gibson ES-335 Dot,Gibson,Electric guitars,Gibson ES,Dot inlay.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
26,ee08ba0c-435a-451b-93f6-75b4d3287603,martin-d-28,Martin D-28,Martin,Acoustic guitars,Martin Dreadnought,Excludes HD-28.,,supported,private,unchanged,user_authoritative_addition
27,df0e0d26-c129-4cab-bc8c-121b5b1e7246,roland-tr-707,TR-707,Roland,Drum machines & samplers,,"SPLIT from TR-727 (different voice set, different buyer). Distinct from TR-06 Boutique.",,supported,private,unchanged,gross_list_336
28,3f50f49b-7af3-464d-8494-b76e49327b84,moog-model-d,Model D,Moog,Vintage synthesizers,,2016 REISSUE only. Sibling of moog-minimoog; neither may absorb the other.,,supported,private,unchanged,gross_list_336
29,a263f97e-4c70-4f54-863c-0e4071e32239,wurlitzer-200a,200A,Wurlitzer,Electric pianos,,200A only. The 200 and 204 in the same gross-list family are inseparable in current data and stay in reserve.,,supported,private,unchanged,gross_list_336
30,7547ed8f-be71-4297-925d-09b90d428478,emu-sp-1200,SP-1200,E Mu,Drum machines & samplers,,SP-1200 only. SP-12 is the earlier machine in the same gross-list family and is materially different; not merged.,,supported,private,unchanged,gross_list_336
31,85d39c38-0363-494a-a90b-28a57ea83334,tube-tech-cl1b,CL 1B,Tube-Tech,Studio outboard,,CL 1B only. Distinct from CL 2A and the LCA 2B channel.,,supported,private,unchanged,gross_list_336
32,9ece0f3a-f8d9-43dd-8667-d99c78eccac1,ua-1176ln,1176LN,Universal Audio,Studio outboard,,1176LN reissue line; 1176SE is in the same gross-list family. Vintage Rev A Bluestripe should split later.,,supported,private,unchanged,gross_list_336
33,,,Fender Telecaster Thinline,Fender,Electric guitars,Fender Telecaster,Semi-hollow; distinct market.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
34,,,Fender Telecaster Custom,Fender,Electric guitars,Fender Telecaster,Excludes Custom Shop.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
35,69e4e94d-cbb8-4a15-a6a3-3eb5a6558011,korg-mono-poly,MONO/POLY,Korg,Vintage synthesizers,,MONO/POLY only. Duplicate KG row korg-monopoly must be consolidated before launch. Distinct from Poly-61/Poly-800/Polysix.,,supported,private,unchanged,gross_list_336
