slug,canonical_name,cohort,current_image_state,current_image_host,commons_verdict,commons_file_page,commons_pixel_url,licence,attribution_required,attribution_string,width,height,background,crop_risk,model_evidence,review_state,notes
roland-jupiter-8,Roland Jupiter-8,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_Jupiter-8_Synth%2C_1983_(white_bg).jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Roland_Jupiter-8_Synth%2C_1983_%28white_bg%29.jpg,CC BY-SA 2.0,yes,"Ed Uthman from Houston, TX, USA; retouch by Ubcule",2741,959,pure_white,high_wide_2.86:1,Verified in pixels: panel prints JUPITER-8 and Roland JP-8,proposed,Best asset found anywhere. True catalogue-grade white cut-out with cast shadow. ShareAlike: a composited derivative inherits SA.
linn-electronics-linndrum,Linn Electronics LinnDrum,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:LinnDrum_digital_drum_machine_front_panel_.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/LinnDrum_digital_drum_machine_front_panel_.jpg,CC BY-SA 3.0 (also GFDL 1.2+),yes,"Linn Electronics. Successor: Forat Electronics - Bruce Forat, president",2215,1215,flat_panel_no_bg,medium_wide_1.82:1,Manufacturer brochure art released by the rights successor; panel reads LinnDrum,proposed,"Use the CC BY-SA arm, never GFDL alone. Rare case of a manufacturer-origin free asset."
roland-tr-808,Roland TR-808 (Rhythm Composer),has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_TR-808_(large).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Roland_TR-808_%28large%29.jpg,CC BY-SA 2.0,yes,Brandon Daniel; derivative work: Clusternote,2356,1375,clipped_white_edge,medium_wide_1.71:1,"Verified in pixels: panel prints Rhythm Composer TR-808 / Computer Controlled. Vintage original, not TR-08 or Boutique",proposed,Clean. ShareAlike.
roland-tr-909,Roland TR-909,has_image,has_image,pexels_hotlink,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_TR-909_(large).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Roland_TR-909_%28large%29.jpg,CC BY-SA 2.0,yes,Brandon Daniel; derivative work: Clusternote,2284,1349,clipped_near_white,medium_wide_1.69:1,"Verified in pixels: panel prints TR-909 RHYTHM COMPOSER, vintage grey/orange layout",proposed,"PRIORITY: current hero is a Pexels URL on a host absent from next.config remotePatterns, so next/image cannot render it today. This candidate is both correct and renderable."
yamaha-dx7,Yamaha DX7,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Yamaha_DX7.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Yamaha_DX7.jpg,CC BY 2.0,yes,Leo-setä,2631,849,near_black_isolated,high_wide_3.10:1,"Verified in pixels: fascia prints YAMAHA DX7 DIGITAL PROGRAMMABLE ALGORITHM SYNTHESIZER. Original DX7, not DX7II/DX7s, and not a cartridge",proposed,Directly answers the PAN-99 failure where a data cartridge shipped as the DX7 hero.
oberheim-ob-xa,Oberheim OB-Xa,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Oberheim_OBX-a_Front.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Oberheim_OBX-a_Front.jpg,CC BY-SA 4.0,yes,Alison Cassidy,4032,2664,wooden_floor,low_1.51:1,"Panel printed OB-Xa, distinguishing it from OB-X and OB-8",proposed,Highest-resolution proven candidate in the set. Background needs removal.
oberheim-ob-x,Oberheim OB-X,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Oberheim_OB-X.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Oberheim_OB-X.jpg,Public domain (PD-self),no,Courtesy: CPRdave at English Wikipedia,864,409,plain_light,high_wide_2.11:1,Panel prints OB-X in the large 1979 font with the OB-X programmer strip,proposed,No attribution burden. Resolution is marginal. Note Category:Oberheim_OB-X is empty; the file sits in Category:Oberheim_Electronics.
korg-ms-20,Korg MS-20,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Korg_MS-20.jpg,https://upload.wikimedia.org/wikipedia/commons/3/32/Korg_MS-20.jpg,CC BY-SA 3.0 (also GFDL),yes,Zinnmann,2838,1688,plain_light_floor,medium_wide_1.68:1,"Dated 2007, predating the 2013 MS-20 mini reissue - the decisive evidence against the clone trap",proposed,Patch cables attached. Use the CC BY-SA arm.
roland-tr-707,Roland TR-707,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_TR-707.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Roland_TR-707.jpg,CC BY-SA 3.0 (also GFDL),yes,Speculos,1483,943,plain_pale,low_1.57:1,Panel prints RHYTHM COMPOSER TR-707,proposed,Flat top-down. Use the CC BY-SA arm.
roland-tr-606,Roland TR-606,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_TR-606.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Roland_TR-606.jpg,CC BY-SA 3.0 (also GFDL),yes,Midas Wouters,1123,556,plain,high_wide_2.02:1,Panel prints Drumatix / TR-606 / Computer Controlled,proposed,Modest resolution.
