slug,canonical_name,browse_visibility,proposed_source,proposed_image_url,evidence_kind,evidence_url,evidence_title,evidence_method,evidence_score,uncurated_70_photos,review_state,notes
rhodes-mark-i-stage-73,Rhodes Mark I Stage 73,public,kleinanzeigen,https://img.kleinanzeigen.de/api/v1/prod-ads/images/2b/2bf6483e-4127-4db9-9535-c02909c6f206?rule=$_2.AUTO,curated_exact_match,https://www.kleinanzeigen.de/s-anzeige/fender-rhodes-mk1/3371614306-74-7983,Fender Rhodes Mk1,FUZZY,100,2,proposed,"Title says only ""Mk1"" - does not distinguish Stage from Suitcase nor 73 from 88. Curation is the only evidence; needs a human to confirm the variant from the photo."
rhodes-mark-i-stage-88,Rhodes Mark I Stage 88,public,kleinanzeigen,https://img.kleinanzeigen.de/api/v1/prod-ads/images/70/707f1494-72ca-4068-9ac1-721e175b414a?rule=$_2.AUTO,curated_exact_match,https://www.kleinanzeigen.de/s-anzeige/fender-rhodes-88-mark-i-stage-piano/3363213463-74-18628,Fender Rhodes 88 Mark I Stage Piano,FUZZY,100,0,proposed,"Strongest title in the set: states 88, Mark I and Stage explicitly."
rhodes-mark-i-suitcase-73,Rhodes Mark I Suitcase 73,public,finn,https://images.finncdn.no/dynamic/default/2024/9/vertical-0/05/2/337/754/962_6da2e2c3-4e4c-49fd-866d-ec34b08542ef.jpg,curated_exact_match,https://www.finn.no/recommerce/forsale/item/337754962,Rhodes Suitcase (med stage MK8 tilleggsstativ.),FUZZY,100,1,proposed,"Title contains both ""Suitcase"" and ""stage"" - textually ambiguous. Photo may also show an unrelated MK8 stand. Human confirmation required."
rhodes-mark-ii-stage-73,Rhodes Mark II Stage 73,public,dba.dk,https://images.dbastatic.dk/dynamic/default/item/24403517/92f93580-aca6-478b-862e-854764655b04,curated_exact_match,https://www.dba.dk/recommerce/forsale/item/24403517,Rhodes Mark II Stage Piano elklaver,FUZZY,100,3,proposed,"Title states Mark II and Stage. Key count (73 vs 88) not stated - confirm from photo."
wurlitzer-200a,Wurlitzer 200A,public,kleinanzeigen,https://img.kleinanzeigen.de/api/v1/prod-ads/images/fd/fd115e93-526e-415d-8519-fe48bc773860?rule=$_2.AUTO,curated_exact_match,https://www.kleinanzeigen.de/s-anzeige/wurlitzer-stage-piano-200a-perfekter-zustand/3304815265-74-6424,"Wurlitzer Stage Piano 200A, perfekter Zustand",FUZZY,100,17,proposed,"Title states 200A explicitly. Note 200 vs 200A is a real distinct model - confirm from photo."
fender-american-professional-ii-stratocaster,Fender American Professional II Stratocaster,public,,,none,,,,,105,blocked_no_curated_evidence,"105 listing photos exist but all via uncurated MODEL/70. PAN-35 forbids inferring identity from these."
fender-american-standard-telecaster,Fender American Standard Telecaster,public,,,none,,,,,0,blocked_no_evidence,"No adjudicated match of any kind. The only product of the 16 with zero listing photo evidence."
fender-american-vintage-52-telecaster,Fender American Vintage '52 Telecaster,qa_only,,,none,,,,,47,blocked_no_curated_evidence,"Reissue vs original '52 is precisely the distinction MODEL/70 cannot make."
fender-telecaster-custom,Fender Telecaster Custom,public,,,none,,,,,8,blocked_no_curated_evidence,"Has a thomann_url, but Thomann is rights-blocked and sells no vintage Telecaster Custom - the URL would be a different model."
fender-telecaster-thinline,Fender Telecaster Thinline,public,,,none,,,,,14,blocked_no_curated_evidence,"Thinline '69 vs '72 vs modern reissue are distinct models sharing the name."
gibson-es-335-dot,Gibson ES-335 Dot,public,,,none,,,,,169,blocked_no_curated_evidence,"Largest uncurated pool of the 16 (169). Volume is not evidence."
gibson-les-paul-special,Gibson Les Paul Special,public,,,none,,,,,77,blocked_no_curated_evidence,"73 matches were rejected on review for this product - the highest rejection count in the set."
gibson-les-paul-standard-50s,Gibson Les Paul Standard '50s,public,,,none,,,,,13,blocked_no_curated_evidence,"'50s vs '60s differ mainly by neck profile - not visually separable in a thumbnail."
gibson-les-paul-standard-60s,Gibson Les Paul Standard '60s,public,,,none,,,,,11,blocked_no_curated_evidence,"See '50s. These two are the clearest mutual-confusion risk in the catalogue."
gibson-les-paul-studio,Gibson Les Paul Studio,qa_only,,,none,,,,,120,blocked_no_curated_evidence,"35 rejected matches on review. Not public, so not a homepage blocker."
neve-portico-ii-master-buss-processor,Neve Portico II Master Buss Processor,qa_only,,,none,,,,,52,blocked_no_curated_evidence,"Rack unit - Portico vs Portico II are near-identical externally. Not public."
