candidate_id,gross_list_status,gross_list_name,canonical_product_id,slug,brand,model,family,current_status,provisional_decision,final_decision,decision_change_reason,rank,score,confidence,trusted_active_total,safe_proposal_total,source_count,price_evidence,matchability_risk,variant_decision,query_readiness,main_reason,promotion_or_removal_trigger,evidence_basis,candidate_origin,hierarchy_role,kg_status,matcher_guard_conflict,lexical_clean_hits,lexical_nordic_de_hits
CAND-0001,variant_split,Roland Juno-106 / HS-60,9d6cbf78-d99f-4995-9010-b811453e829e,roland-juno-106,Roland,Juno-106,Vintage synthesizers,legendary/public,core,core,"Retained. Gross-list family ""Roland Juno-106 / HS-60"".",1,92,high,45,31,5,"median 13964 DKK (p25 11337 / p75 16189, n=65)",11 deferrals (non_product_intent:7 ambiguous_tie:4); 62 rejected,Single page. Juno-6/60 are separate pages. HS-60 is the consumer-badged 106 and shares this page.,Incumbent query on all four marketplace scrapers; CSP set.,"Best-evidenced product in the catalogue: 5 sources, 65 records, tight 11.3k-16.2k DKK band.",Supply below 15 across all sources for 60 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0002,exact_match,Roland Juno-60,3ecf2933-92b9-4676-b80f-d4b0ba7e2c5d,roland-juno-60,Roland,Juno-60,Vintage synthesizers,legendary/public,core,core,"Retained. Gross-list family ""Roland Juno-60"".",2,91,high,40,23,5,"median 22750 DKK (p25 19143 / p75 29000, n=62)",11 deferrals (ambiguous_tie:10 non_product_intent:1); 26 rejected,Single page. Distinct from Juno-6 (patch memory) and Juno-106 (MIDI).,Incumbent query on all four marketplace scrapers; CSP set.,"5 sources, 62 records, tight 19.1k-29.0k band at a materially higher level than the 106.",Supply below 15 for 60 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0003,exact_match,Roland TR-909,352d676c-ad63-489a-82c1-e59333f79bff,roland-tr-909,Roland,TR-909,Drum machines & samplers,legendary/public,core,core,"Retained. Gross-list family ""Roland TR-909"".",3,83,high,17,24,3,"median 42949 DKK (p25 33525 / p75 52150, n=40)",2 deferrals (ambiguous_tie:2); 71 rejected,Single page. Exclude TR-09 (Boutique).,Incumbent query; CSP set.,"42.9k median, tight 33.5k-52.2k band, 40 records.",Fewer than 5 active records for 90 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0004,variant_split,Moog Minimoog Model D,a03a8e67-8b21-4837-af83-606e63f2e08f,moog-minimoog,Moog,Minimoog,Vintage synthesizers,legendary/public,core,core,"Retained. Gross-list family ""Moog Minimoog Model D"" (variant split).",5,81,medium,45,6,4,"median 34975 DKK (p25 27208 / p75 49648, n=50)",56 deferrals (ambiguous_tie:53 non_product_intent:2); 64 rejected,ORIGINAL Model D (1970-81). The 2016 reissue is the separate moog-model-d page; Voyager excluded.,Incumbent query; CSP set.,"35.0k median, 50 records, 4 sources.",Ambiguous ties against Model D/Voyager above 25%.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0005,exact_match,Roland TR-808,d7f70d54-57ae-475d-affd-b02cf75d3f74,roland-tr-808,Roland,TR-808,Drum machines & samplers,legendary/public,core,core,"Retained. Gross-list family ""Roland TR-808"".",6,80,high,14,10,2,"median 46771 DKK (p25 38480 / p75 53787, n=23)",4 deferrals (ambiguous_tie:2 brand_mismatch:1); 55 rejected,Single page. Exclude TR-08/TR-8/TR-8S and clones.,Incumbent query; CSP set; 8 curated aliases.,"Iconic, 46.8k median, tight 38.5k-53.8k band.",Fewer than 5 active records for 90 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0006,variant_split,Korg MS-20,9622dc8d-b230-4eb4-9598-aae5c762a7c3,korg-ms-20,Korg,MS-20,Vintage synthesizers,legendary/public,core,core,"Retained. Gross-list family ""Korg MS-20"".",7,78,medium,9,38,5,"median 11693 DKK (p25 8900 / p75 13842, n=45)",53 deferrals (ambiguous_tie:51 copy_or_reference:1); 1 rejected,"ORIGINAL (1978) only. MS-20 Mini, MS-20 Kit and MS-20 FS are materially cheaper and MUST NOT land here (korg-ms-20-mini exists as a separate row).",Incumbent query on all four marketplace scrapers; CSP set.,"5 sources, tight 8.9k-13.8k band.",Mini/Kit/FS leakage above 10% of matched listings.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0007,variant_split,Rhodes Mark I / Mark II / Mark V Stage,88fd0362-a085-463e-9eae-5300a3a43640,rhodes-mark-i-suitcase-73,Rhodes,Mark I Suitcase 73,Electric pianos,legendary/public,core,core,Retained as a variant split of the Rhodes gross-list family.,8,77,medium,9,2,4,"median 24700 DKK (p25 22000 / p75 29250, n=11)",1 deferrals (copy_or_reference:1); 0 rejected,"Active Suitcase (built-in amp + speaker cabinet), 73 keys. NOTE: ""Suitcase"" is not literally named in the gross-list family string, which says ""Stage"" - recorded as a variant split, not an exact match.","Incumbent query. No CSP, no subcategory.","4 sources, 22.0k-29.3k band.",Fewer than 5 active records for 90 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0008,duplicate_consolidated,Roland RE-101 / RE-150 / RE-201 / RE-301 Space Echo,07cc1ac5-a0c9-4707-99ed-c4440a1f9563,roland-re-201,Roland,RE-201,Tape echo & effects,legendary/public,core,core,"Retained. Gross-list family ""Roland RE-101 / RE-150 / RE-201 / RE-301 Space Echo"".",11,76,medium,23,0,3,"median 14803 DKK (p25 13095 / p75 18365, n=23)",32 deferrals (product_data_conflict:30 shared_identifier_conflict:2); 21 rejected,RE-201 only. Distinct from RE-101/RE-150/RE-301 (same gross-list family) and from RE-2/RE-20 pedals.,Incumbent query; CSP set; 13 curated aliases.,"Tight 13.1k-18.4k band, 23 trusted records.",product_data_conflict still non-zero after migration 053 reaches POST.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0009,duplicate_consolidated,Sequential Circuits Prophet-10,ef069b5e-e1ea-43f7-bfd6-fa0ea9220926,sequential-prophet-10,Sequential,Prophet-10,Vintage synthesizers,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Sequential Circuits Prophet-10"".",13,75,medium,24,21,2,"median 24700 DKK (p25 20520 / p75 28576, n=45)",5 deferrals (ambiguous_tie:3 low_confidence:2); 16 rejected,Prophet-10 only. Distinct from Prophet-5 (unresolved vintage/Rev4 split) and from the modern Prophet-10 reissue where titles allow.,Not an incumbent; Blocket evidence incidental. Needs a query seed.,"45 records, tight 20.5k-28.6k band, only 5 deferrals.",Prophet-5 leakage above 10%.,"gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0010,duplicate_consolidated,Roland Jupiter-8,fb04b727-b3aa-462c-8456-064f3add5121,roland-jupiter-8,Roland,Jupiter-8,Vintage synthesizers,legendary/public,core,core,"Retained. Gross-list family ""Roland Jupiter-8"".",15,74,medium,8,4,2,"median 161946 DKK (p25 155474 / p75 187007, n=11)",10 deferrals (ambiguous_tie:7 non_product_intent:3); 33 rejected,Single page. Distinct from Jupiter-6/-4 and from Jupiter-X/Xm.,Incumbent query; CSP set. DBA returns zero results (documented source property).,Highest-value instrument with a usable band (155k-187k).,Fewer than 5 active records for 90 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
