slug,canonical_title,kg_prerequisite,page_route,visibility_now,tier_now,article_state,image_state,notes
roland-juno-106,Juno-106,,/product/roland-juno-106,public,legendary,,,
roland-juno-60,Juno-60,,/product/roland-juno-60,public,legendary,,,
roland-tr-909,TR-909,,/product/roland-tr-909,public,legendary,,,
gibson-les-paul-custom,Gibson Les Paul Custom,,/product/gibson-les-paul-custom,qa_only,standard,,,
moog-minimoog,Minimoog,,/product/moog-minimoog,public,legendary,,,
roland-tr-808,TR-808,,/product/roland-tr-808,public,legendary,,,
korg-ms-20,MS-20,,/product/korg-ms-20,public,legendary,,,
rhodes-mark-i-suitcase-73,Mark I Suitcase 73,,/product/rhodes-mark-i-suitcase-73,public,legendary,,,
gibson-hummingbird,Gibson Hummingbird,,/product/gibson-hummingbird,,,,,
,Gibson Les Paul Standard '60s,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
roland-re-201,RE-201,,/product/roland-re-201,public,legendary,,,
gibson-j-45,Gibson J-45,,/product/gibson-j-45,,,,,
sequential-prophet-10,Prophet-10,,/product/sequential-prophet-10,qa_only,standard,,,
gibson-sj-200-original,Gibson SJ-200,,/product/gibson-sj-200-original,,,,,
roland-jupiter-8,Jupiter-8,,/product/roland-jupiter-8,public,legendary,,,
roland-sh-101,SH-101,,/product/roland-sh-101,public,legendary,,,
,Gibson Les Paul Standard '50s,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
,Gibson Les Paul Studio,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
rhodes-mark-ii-stage-73,Mark II Stage 73,,/product/rhodes-mark-ii-stage-73,public,legendary,,,
neumann-u87ai,U 87 Ai,,/product/neumann-u87ai,qa_only,standard,,,
roland-juno-6,Juno-6,,/product/roland-juno-6,qa_only,standard,,,
,Gibson Les Paul Special,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
rhodes-mark-i-stage-73,Mark I Stage 73,,/product/rhodes-mark-i-stage-73,public,legendary,,,
roland-re-501,RE-501,,/product/roland-re-501,qa_only,standard,,,
,Gibson ES-335 Dot,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
martin-d-28,Martin D-28,,/product/martin-d-28,qa_only,standard,,,
roland-tr-707,TR-707,,/product/roland-tr-707,qa_only,standard,,,
moog-model-d,Model D,,/product/moog-model-d,qa_only,standard,,,
wurlitzer-200a,200A,,/product/wurlitzer-200a,public,legendary,,,
emu-sp-1200,SP-1200,,/product/emu-sp-1200,qa_only,standard,,,
tube-tech-cl1b,CL 1B,,/product/tube-tech-cl1b,qa_only,standard,,,
ua-1176ln,1176LN,,/product/ua-1176ln,qa_only,standard,,,
,Fender Telecaster Thinline,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
,Fender Telecaster Custom,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
korg-mono-poly,MONO/POLY,,/product/korg-mono-poly,qa_only,standard,,,
korg-polysix,PolySix,,/product/korg-polysix,qa_only,standard,,,
roland-jupiter-4,Jupiter-4,,/product/roland-jupiter-4,qa_only,standard,,,
,Fender American Vintage '52 Telecaster,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
yamaha-dx7,DX7,,/product/yamaha-dx7,public,legendary,,,
,Fender American Professional II Stratocaster,missing_from_kg,,,,,,"No KG row yet — no page, article or image can exist."
manley-voxbox,VOXBOX,,/product/manley-voxbox,qa_only,standard,,,
roland-tr-606,TR-606,,/product/roland-tr-606,qa_only,standard,,,
tube-tech-lca-2b,LCA 2B,,/product/tube-tech-lca-2b,qa_only,standard,,,
gibson-sg-standard-large-guard-with-maestro-vibrola,Gibson SG Standard,,/product/gibson-sg-standard-large-guard-with-maestro-vibrola,qa_only,standard,,,
roland-system-100,System 100,,/product/roland-system-100,qa_only,standard,,,
neve-portico-ii-master-buss-processor,Portico II Master Buss Processor,,/product/neve-portico-ii-master-buss-processor,qa_only,standard,,,
fender-mustang-bass,Fender Mustang Bass,,/product/fender-mustang-bass,,,,,
moog-source,Source,,/product/moog-source,qa_only,standard,,,
