candidate_id,source_origin,source_row_label,brand,family_or_model,hierarchy_role,reconciliation_state,kg_mapping,canonical_product_id,slug,final_decision,score,confidence,lifecycle_proposal,decision_reason
GL-0001,gross_list_336,Access	Virus A / B / C / TI,Access,Virus A / B / C / TI,,duplicate_consolidated,exact_kg_product,1a70f939-1fb3-4246-8e52-43275265bd1b,access-virus-b,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0002,gross_list_336,Access	Virus A / B / C / TI,Access,Virus A / B / C / TI,,duplicate_consolidated,exact_kg_product,2ed44647-2f3f-4605-9418-be1c35c21740,access-virus-c,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0003,gross_list_336,Access	Virus A / B / C / TI,Access,Virus A / B / C / TI,,duplicate_consolidated,exact_kg_product,3207286d-474b-4e67-8921-0a9258f7d540,access-virus-ti-snow,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0004,gross_list_336,Access	Virus A / B / C / TI,Access,Virus A / B / C / TI,,duplicate_consolidated,exact_kg_product,836dc2ff-03ea-4350-84e8-b0e9a005e687,access-virus,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0005,gross_list_336,Access	Virus A / B / C / TI,Access,Virus A / B / C / TI,,duplicate_consolidated,exact_kg_product,e81cea4a-c124-4076-8f33-97ebc8fdf265,access-virus-ti,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0006,gross_list_336,Access	Virus A / B / C / TI,Access,Virus A / B / C / TI,,duplicate_consolidated,exact_kg_product,f5fbb21d-8f29-4337-8091-2ff6571ea34d,access-virus-ti-polar,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0007,gross_list_336,AKG	BX 20,AKG,BX 20,,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0008,gross_list_336,AKG	C12 / C12 VR,AKG,C12 / C12 VR,,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0009,gross_list_336,AKG	C24,AKG,C24,,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0010,gross_list_336,AKG	C414 (EB / comb / XLS),AKG,C414 (EB / comb / XLS),,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0011,gross_list_336,AKG	D12 / D12E / D112,AKG,D12 / D12E / D112,,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0012,gross_list_336,Akai	AX60 / AX73 / AX80,Akai,AX73,,duplicate_consolidated,exact_kg_product,2fdcdd49-dcac-456e-a0b6-3f278e3630ee,akai-ax73,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0013,gross_list_336,Akai	AX60 / AX73 / AX80,Akai,AX60 / AX73 / AX80,,duplicate_consolidated,exact_kg_product,4abc498a-665b-4fce-a86f-db8549eefff3,akai-ax60,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0014,gross_list_336,Akai	AX60 / AX73 / AX80,Akai,AX60 / AX73 / AX80,,duplicate_consolidated,exact_kg_product,a615a361-7800-49c3-a6d8-bff252a8bc75,akai-ax80,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0015,gross_list_336,Akai	MPC60 / MPC60II,Akai,MPC60,,exact_match,exact_kg_product,bc3e6626-435f-48d1-876f-eb8e08644224,akai-mpc60,reserve,53,low,support=reserve;visibility=private;monitoring=none,"NEW from gross list ""Akai MPC60 / MPC60II""."
GL-0016,gross_list_336,Akai	MPC3000,Akai,MPC3000,,exact_match,exact_kg_product,5404dd30-1550-41d4-b08d-aef50d0e6ad7,akai-mpc3000,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
