entity_type,current_id,current_name,current_state,vertical_action,reason,candidate_origin,required_later_action,matcher_guard_conflict,historical_preservation,confidence
kg_brand,cabf0df5-626b-4ac0-904c-20f640ad0117,Hans J. Wegner,0 active / 34 inactive products; root category 'danish-modern',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,76242652-0d8b-45c2-bc1f-b1147c14009e,Sony,0 active / 13 inactive products; root category 'photography',manual_review_vertical,"Photography brand; some makers (e.g. Sony) also sell professional audio, so vertical needs a human call.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,c515bfe7-b7f4-4317-a12e-f1f1cfdcff84,Fritz Hansen,0 active / 12 inactive products; root category 'design-objects',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,8236224c-2e91-4fb2-abfe-f95c73cf8049,Apple,0 active / 9 inactive products; root category 'tech',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,a1cf6634-366f-47a8-8fb3-c45ede1dfe82,Herman Miller,0 active / 7 inactive products; root category 'design-objects',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,aa9fce3e-b0ad-426e-89dc-2688198909c4,Specialized,0 active / 7 inactive products; root category 'cycling',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,2b1ab7f5-0fee-4678-bc39-fb4053f7b932,Canyon,0 active / 6 inactive products; root category 'cycling',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,4e225857-26b1-4a04-b3c0-5e8ac4ac5853,Carl Hansen Søn,0 active / 6 inactive products; root category 'design-objects',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,52c684c0-44fd-4f96-a27d-9ef89a392146,Knoll,0 active / 5 inactive products; root category 'design-objects',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,153b1313-08ae-4827-abed-6c9ae4907b34,Louis Poulsen,0 active / 5 inactive products; root category 'design-objects',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,80cda9f2-588a-415e-a0a2-2f9e06565cf2,Ridley,0 active / 5 inactive products; root category 'cycling',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
kg_brand,a772b129-b0ab-4c18-9fd0-fef88fce6407,Trek,0 active / 5 inactive products; root category 'cycling',deprecate_non_music,"Consumer electronics / furniture / design / cycling vertical, out of the music scope.",existing_kg,"No action required for matching: all products are already status=inactive, so they are outside matcher eligibility and outside catalogueBrands. Retain the brand row.",,kg_product.status=inactive already preserves every historical listing_product_match reference; no deletion and no new table needed.,high
