candidate_origin,brand,family,proposed_variant,category,hierarchy_role,match_target_status,kg_status,brand_in_kg,matcher_guard_conflict,lexical_clean_hits,lexical_nordic_de_hits,lexical_median_dkk,contamination_rate_pct,score,confidence,boundary_note,source_rationale
user_authoritative_addition,Fender,Fender Stratocaster,Fender Stratocaster,electric-guitars,navigation_family,not_a_match_target,exact_kg_product,yes,,904,908,8450,6,,,Navigation only: origin/series/era price bands differ by >3x.,User authoritative addition
user_authoritative_addition,Fender,Fender Stratocaster,Fender American Professional II Stratocaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,16,15,11500,6,63,low,Series named explicitly in title.,User authoritative addition
user_authoritative_addition,Fender,Fender Stratocaster,Fender American Ultra Stratocaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,12,12,13336,0,62,low,Excludes Ultra II unless evidence merges them.,User authoritative addition
user_authoritative_addition,Fender,Fender Stratocaster,Fender American Vintage II Stratocaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,3,3,15900,0,57,low,"Reissue line, distinct from AVRI.",User authoritative addition
user_authoritative_addition,Fender,Fender Stratocaster,Fender Player Stratocaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,33,34,4680,3,62,low,Player/Player II; MIM.,User authoritative addition
user_authoritative_addition,Fender,Fender Stratocaster,Fender MIJ/CIJ Stratocaster,electric-guitars,discovery_only,not_a_match_target,missing_from_kg,yes,,59,57,7078,5,50,low,"DISCOVERY: era/series unresolved (ST-54/57/62, Traditional, Heritage).",User authoritative addition
user_authoritative_addition,Squier,Fender Stratocaster,Squier Classic Vibe Stratocaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,no,,5,5,2470,0,49,low,Separate sub-brand family; never merges into Fender.,User authoritative addition
user_authoritative_addition,Fender,Fender Telecaster,Fender Telecaster,electric-guitars,navigation_family,not_a_match_target,partial_family_multiple_kg_rows,yes,,531,482,11101,9,,,Navigation only.,User authoritative addition
user_authoritative_addition,Fender,Fender Telecaster,Fender American Standard Telecaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,11,12,8940,8,57,low,Only where origin+era explicit.,User authoritative addition
user_authoritative_addition,Fender,Fender Telecaster,Fender Telecaster Thinline,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,24,23,21242,0,67,low,Semi-hollow; distinct market.,User authoritative addition
user_authoritative_addition,Fender,Fender Telecaster,Fender Telecaster Custom,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,26,27,23095,4,66,low,Excludes Custom Shop.,User authoritative addition
user_authoritative_addition,Fender,Fender Telecaster,Fender Telecaster Deluxe,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,16,16,7800,0,57,low,Wide-range humbuckers.,User authoritative addition
user_authoritative_addition,Fender,Fender Telecaster,Fender American Vintage '52 Telecaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,10,11,29793,9,65,low,1952 reissue line.,User authoritative addition
user_authoritative_addition,Fender,Fender Jazzmaster,Fender Jazzmaster,electric-guitars,navigation_family,not_a_match_target,partial_family_multiple_kg_rows,yes,,102,2,13604,11,,,Navigation only.,User authoritative addition
user_authoritative_addition,Fender,Fender Jazzmaster,Fender American Vintage II Jazzmaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,15,0,18139,0,59,low,Reissue line.,User authoritative addition
user_authoritative_addition,Fender,Fender Jazzmaster,Fender Troy Van Leeuwen Jazzmaster,electric-guitars,matchable_canonical_product,match_target_pending_kg,missing_from_kg,yes,,3,0,12956,0,49,low,Signature; distinct price.,User authoritative addition
